username,year,day,filename,readability_score,naming,modularity,control_flow,comments_docs,pythonic_style
AbdeI1,2015,1,code.py,6,7,7,5,3,7
AbdeI1,2015,2,code.py,3,4,5,2,1,3
AbdeI1,2015,3,code.py,6,7,7,5,3,7
AbdeI1,2015,4,code.py,7,8,7,7,6,7
AbdeI1,2015,5,code.py,6,7,5,6,3,7
AbdeI1,2015,6,code.py,3,3,4,4,1,3
AbdeI1,2015,7,code.py,5,4,6,5,2,6
AbdeI1,2015,8,code.py,7,8,7,8,4,7
AbdeI1,2015,9,code.py,5,6,4,7,2,6
AbdeI1,2015,10,code.py,7,8,7,8,5,8
AbdeI1,2015,11,code.py,3,4,4,3,2,5
AbdeI1,2015,12,code.py,4,4,5,5,2,4
AbdeI1,2015,13,code.py,4,3,6,5,2,5
AbdeI1,2015,14,code.py,4,3,6,4,2,5
AbdeI1,2015,15,code.py,3,3,4,3,1,4
AbdeI1,2015,16,code.py,3,4,6,3,2,3
AbdeI1,2015,17,code.py,6,7,5,6,2,7
AbdeI1,2015,18,code.py,2,3,2,1,1,2
AbdeI1,2015,19,code.py,5,4,7,5,2,6
AbdeI1,2015,20,code.py,4,3,6,5,1,5
AbdeI1,2015,21,code.py,4,3,7,5,1,4
AbdeI1,2015,22,code.py,4,3,7,4,1,5
AbdeI1,2015,23,code.py,5,6,4,5,10,5
AbdeI1,2015,24,code.py,5,5,7,5,2,6
AbdeI1,2015,25,code.py,4,3,6,7,2,5
AbdeI1,2016,1,code.py,7,8,7,6,5,7
AbdeI1,2016,2,code.py,6,7,7,5,2,7
AbdeI1,2016,3,code.py,4,5,6,3,2,5
AbdeI1,2016,4,code.py,2,2,3,2,1,2
AbdeI1,2016,5,code.py,6,5,7,6,3,7
AbdeI1,2016,6,code.py,6,5,7,8,3,7
AbdeI1,2016,7,code.py,5,6,7,4,3,5
AbdeI1,2016,8,code.py,5,6,3,6,1,6
AbdeI1,2016,9,code.py,4,3,5,4,2,5
AbdeI1,2016,10,code.py,3,2,4,4,2,4
AbdeI1,2016,11,code.py,3,3,4,3,1,3
AbdeI1,2016,12,code.py,5,6,4,5,2,6
AbdeI1,2016,13,code.py,4,3,6,5,2,5
AbdeI1,2016,14,code.py,4,4,6,4,2,5
AbdeI1,2016,15,code.py,4,3,6,5,1,4
AbdeI1,2016,16,code.py,5,6,7,4,2,6
AbdeI1,2016,17,code.py,4,4,5,4,1,6
AbdeI1,2016,18,code.py,5,6,5,6,2,6
AbdeI1,2016,19,code.py,6,7,7,5,4,6
AbdeI1,2016,20,code.py,4,3,5,4,2,5
AbdeI1,2016,21,code.py,4,4,7,4,1,5
AbdeI1,2016,22,code.py,3,2,4,4,1,4
AbdeI1,2016,23,code.py,4,4,5,3,2,5
AbdeI1,2016,24,code.py,4,4,3,5,2,5
AbdeI1,2016,25,code.py,5,5,6,6,2,6
AbdeI1,2017,1,code.py,6,7,7,5,3,7
AbdeI1,2017,2,code.py,4,6,5,3,2,5
AbdeI1,2017,3,code.py,4,3,6,4,2,5
AbdeI1,2017,4,code.py,4,5,6,3,2,5
AbdeI1,2017,5,code.py,5,5,7,4,2,6
AbdeI1,2017,6,code.py,4,3,6,4,2,4
AbdeI1,2017,7,code.py,5,5,6,5,2,6
AbdeI1,2017,8,code.py,5,5,7,6,2,5
AbdeI1,2017,9,code.py,4,4,6,5,1,3
AbdeI1,2017,10,code.py,3,3,5,4,1,4
AbdeI1,2017,11,code.py,7,8,7,8,3,7
AbdeI1,2017,12,code.py,5,4,6,6,2,5
AbdeI1,2017,13,code.py,3,2,4,3,1,3
AbdeI1,2017,14,code.py,4,4,5,4,2,5
AbdeI1,2017,15,code.py,5,6,7,4,2,6
AbdeI1,2017,16,code.py,5,5,6,5,2,6
AbdeI1,2017,17,code.py,5,5,6,5,3,6
AbdeI1,2017,18,code.py,5,5,6,5,3,6
AbdeI1,2017,19,code.py,5,6,7,4,1,6
AbdeI1,2017,20,code.py,3,3,4,3,1,4
AbdeI1,2017,21,code.py,3,3,4,3,1,4
AbdeI1,2017,22,code.py,4,3,7,4,2,5
AbdeI1,2017,23,code.py,4,3,5,4,2,5
AbdeI1,2017,24,code.py,3,2,4,3,1,4
AbdeI1,2017,25,code.py,3,2,5,4,1,3
AbdeI1,2018,1,code.py,6,6,7,5,7,6
AbdeI1,2018,2,code.py,6,7,7,5,3,6
AbdeI1,2018,3,code.py,3,3,4,3,1,3
AbdeI1,2018,4,code.py,3,2,3,4,1,3
AbdeI1,2018,5,code.py,4,3,5,4,2,5
AbdeI1,2018,6,code.py,3,2,5,3,1,4
AbdeI1,2018,7,code.py,4,3,5,4,1,5
AbdeI1,2018,8,code.py,4,3,5,4,2,5
AbdeI1,2018,9,code.py,4,3,5,5,1,4
AbdeI1,2018,10,code.py,4,3,5,5,1,5
AbdeI1,2018,11,code.py,3,4,3,4,1,5
AbdeI1,2018,12,code.py,4,4,6,4,2,5
AbdeI1,2018,13,code.py,4,4,6,4,1,5
AbdeI1,2018,14,code.py,6,7,7,5,2,7
AbdeI1,2018,15,code.py,6,7,5,6,3,7
AbdeI1,2018,16,code.py,4,5,3,4,2,3
AbdeI1,2018,17,code.py,3,2,4,4,1,3
AbdeI1,2018,18,code.py,4,4,5,4,2,5
AbdeI1,2018,19,code.py,6,7,5,7,2,6
AbdeI1,2018,20,code.py,3,3,4,3,2,4
AbdeI1,2018,21,code.py,5,7,4,5,3,6
AbdeI1,2018,22,code.py,6,7,5,6,3,7
AbdeI1,2018,23,code.py,4,4,5,4,1,5
AbdeI1,2018,24,code.py,4,4,3,5,2,4
AbdeI1,2018,25,code.py,4,3,5,4,2,5
AbdeI1,2019,1,code.py,7,8,7,6,5,8
AbdeI1,2019,2,code.py,6,7,5,6,2,7
AbdeI1,2019,3,code.py,3,4,7,2,1,4
AbdeI1,2019,4,code.py,6,7,7,5,3,7
AbdeI1,2019,5,code.py,4,4,6,3,2,5
AbdeI1,2019,6,code.py,5,4,6,6,2,6
AbdeI1,2019,7,code.py,6,7,5,6,3,7
AbdeI1,2019,8,code.py,4,5,6,3,2,4
AbdeI1,2019,9,code.py,7,8,6,9,5,7
AbdeI1,2019,10,code.py,5,4,7,5,2,6
AbdeI1,2019,11,code.py,4,3,6,5,2,5
AbdeI1,2019,12,code.py,2,2,3,2,1,3
AbdeI1,2019,13,code.py,4,3,5,3,2,4
AbdeI1,2019,14,code.py,3,2,4,4,1,4
AbdeI1,2019,15,code.py,4,3,5,4,2,5
AbdeI1,2019,16,code.py,4,4,5,3,2,4
AbdeI1,2019,17,code.py,4,3,4,4,2,5
AbdeI1,2019,18,code.py,4,3,5,4,2,5
AbdeI1,2019,19,code.py,3,4,3,2,1,4
AbdeI1,2019,20,code.py,4,3,5,4,1,5
AbdeI1,2019,21,code.py,5,4,7,8,2,6
AbdeI1,2019,22,code.py,4,3,6,5,2,4
AbdeI1,2019,23,code.py,4,3,5,4,2,5
AbdeI1,2019,24,code.py,4,3,5,4,2,4
AbdeI1,2019,25,code.py,4,3,4,5,3,4
AbdeI1,2020,1,code.py,7,8,7,7,5,8
AbdeI1,2020,2,code.py,5,5,7,5,1,4
AbdeI1,2020,3,code.py,6,7,5,6,3,7
AbdeI1,2020,4,code.py,4,5,3,4,1,4
AbdeI1,2020,5,code.py,6,7,7,6,3,7
AbdeI1,2020,6,code.py,5,4,7,5,2,5
AbdeI1,2020,7,code.py,3,3,5,3,1,3
